var,rel.inf
small.particle,35.95346003
heavy.material.tool,15.40334545
lifting.pulling.manual.handling,5.881248965
hazardous.substance,4.591569228
slag,4.280601126
improper.body.position,3.575575098
exiting.transitioning,3.538304878
insect,3.200742312
object.on.the.floor,2.475060954
stairs,1.81600869
hammer,1.782021494
powered.tool,1.631599363
wind,1.611839813
wire,1.057407946
sharp.edge,1.024068647
drill,0.934486178
splinter.sliver,0.812406867
welding,0.787363216
uneven.surface,0.747011851
spool,0.743161953
unpowered.tool,0.694879977
heat.source,0.6584842
adverse.low.temps,0.605390611
conduit,0.564578116
steel.steel.sections,0.545418554
bolt,0.540895643
nail,0.539570834
working.below.elev.wksp.mat,0.448239842
working.overhead,0.368859159
chipping,0.311821537
light.vehicle,0.289651159
wrench,0.287111831
hand.size.pieces,0.265404931
guardrail.handrail,0.229741768
stud,0.223554018
piping,0.187798356
tank,0.173094094
stripping,0.142308782
scaffold,0.140074758
door,0.085303451
mud,0.076340238
object.at.height,0.074124978
lumber,0.071813829
working.at.height,0.071272512
heavy.vehicle,0.060971431
rebar,0.060239724
machinery,0.051533551
improper.procedure.inattention,0.043898823
hose,0.040313993
slippery.surface,0.040215688
confined.workspace,0.034351088
grinding,0.026334304
formwork,0.023905077
repetitive.motion,0.022983805
improper.security.of.tools,0.022517133
ladder,0.020133725
congested.workspace,0.01756946
forklift,0.017382079
valve,0.013684074
crane,0.012302481
manlift,0.011396276
cable,0.010803469
grout,0.007374144
concrete.liquid,0.007048868
soffit,0.006799294
unstable.support.surface,0.005224272
cable.tray,0
concrete,0
dunnage,0
job.trailer,0
pontoon,0
unpowered.transporter,0
cleaning,0
screw,0
spark,0
improper.security.of.materials,0
no.improper.PPE,0
poor.visibility,0
